日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-24,301101,20.52,21.34,21.38,20.42,59568,127865801.0,4.68,4.1,0.84,8.33
2024-09-25,301101,21.49,21.63,22.38,21.34,73206,163236640.0,4.87,1.36,0.29,10.24
2024-09-26,301101,21.47,22.18,22.25,20.88,86918,190365315.0,6.33,2.54,0.55,12.16
2024-09-27,301101,22.36,23.44,23.73,22.22,106983,251108758.0,6.81,5.68,1.26,14.97
2024-09-30,301101,24.86,27.05,27.66,23.7,145983,380739714.0,16.89,15.4,3.61,20.43
2024-10-08,301101,32.16,30.15,32.17,27.2,139368,420077919.0,18.37,11.46,3.1,19.5
2024-10-09,301101,28.3,25.46,28.53,25.31,99711,274108617.0,10.68,-15.56,-4.69,13.95
2024-10-10,301101,26.12,26.24,27.1,25.45,73738,198519210.0,6.48,3.06,0.78,10.32
2024-10-11,301101,26.13,24.68,26.13,24.23,50469,128246099.0,7.24,-5.95,-1.56,7.06
2024-10-14,301101,24.68,25.2,25.37,24.09,52176,132097708.0,5.19,2.11,0.52,7.3
2024-10-15,301101,24.9,24.42,25.45,24.38,39671,100710427.0,4.25,-3.1,-0.78,5.55
2024-10-16,301101,24.13,24.55,25.25,24.13,44756,112487964.0,4.59,0.53,0.13,6.26
2024-10-17,301101,24.73,24.85,26.0,24.73,53090,136377659.0,5.17,1.22,0.3,7.43
2024-10-18,301101,24.99,25.94,26.54,24.55,66724,173483707.0,8.01,4.39,1.09,9.34
2024-10-21,301101,25.85,26.03,26.48,25.58,59095,156605417.0,3.47,0.35,0.09,8.27
2024-10-22,301101,26.08,26.86,26.93,25.73,65376,176459601.0,4.61,3.19,0.83,9.15
2024-10-23,301101,27.07,26.17,27.07,25.96,68092,182038038.0,4.13,-2.57,-0.69,9.53
2024-10-24,301101,25.94,25.54,26.03,25.4,43369,113452125.0,2.41,-2.41,-0.63,6.07
2024-10-25,301101,25.7,26.28,26.5,25.4,66367,175852710.0,4.31,2.9,0.74,9.29
2024-10-28,301101,26.1,26.49,26.65,25.72,53234,142524308.0,3.54,0.8,0.21,7.45
2024-10-29,301101,26.48,25.76,27.0,25.76,70702,189695881.0,4.68,-2.76,-0.73,9.89
2024-10-30,301101,25.76,25.38,26.28,25.06,58340,152208434.0,4.74,-1.48,-0.38,8.16
2024-10-31,301101,25.18,25.1,25.68,24.97,52256,134862314.0,2.8,-1.1,-0.28,7.31
2024-11-01,301101,24.9,24.36,25.14,24.21,43599,109789051.0,3.71,-2.95,-0.74,6.1
2024-11-04,301101,24.43,25.58,26.16,24.37,59361,153910126.0,7.35,5.01,1.22,8.31
2024-11-05,301101,26.05,27.17,27.69,25.61,123500,338168045.0,8.13,6.22,1.59,17.28
2024-11-06,301101,27.15,27.18,27.9,26.65,132237,367451405.0,4.6,0.04,0.01,18.5
2024-11-07,301101,26.57,27.91,28.28,26.51,105249,295547267.0,6.51,2.69,0.73,14.73
2024-11-08,301101,28.01,28.39,28.83,27.55,86216,248048282.0,4.59,1.72,0.48,12.06
2024-11-11,301101,28.0,28.55,28.57,27.7,71779,206011138.0,3.06,0.56,0.16,10.04
2024-11-12,301101,28.8,29.35,30.86,28.78,117814,354470824.0,7.29,2.8,0.8,16.48
2024-11-13,301101,29.37,29.47,30.28,28.33,97854,292081260.0,6.64,0.41,0.12,13.69
2024-11-14,301101,29.4,29.78,31.1,29.3,124674,383881708.0,6.11,1.05,0.31,17.44
2024-11-15,301101,29.32,35.84,35.84,28.8,159998,550432881.0,23.64,20.35,6.06,22.39
2024-11-18,301101,36.75,36.5,39.13,33.51,290089,1082015255.0,15.68,1.84,0.66,40.59
2024-11-19,301101,33.0,33.15,34.16,30.63,202103,664701129.0,9.67,-9.18,-3.35,28.28
2024-11-20,301101,32.4,35.19,36.8,32.4,203199,719137821.0,13.27,6.15,2.04,28.43
2024-11-21,301101,33.9,33.26,34.47,32.52,144704,489230571.0,5.54,-5.48,-1.93,20.25
2024-11-22,301101,32.5,32.05,34.5,31.85,124832,423619349.0,7.97,-3.64,-1.21,17.47
2024-11-25,301101,32.05,30.92,32.36,29.94,100229,313228169.0,7.55,-3.53,-1.13,14.02
2024-11-26,301101,30.85,30.77,32.3,30.61,93120,297137404.0,5.47,-0.49,-0.15,13.03
2024-11-27,301101,30.43,37.02,37.02,30.06,170044,577996151.0,22.62,20.31,6.25,23.79
2024-11-28,301101,36.79,39.5,43.5,36.3,223520,899105190.0,19.45,6.7,2.48,31.28
2024-11-29,301101,39.5,38.3,40.0,36.85,173065,670906030.0,7.97,-3.04,-1.2,24.22
2024-12-02,301101,37.66,39.11,39.56,37.3,177884,695644147.0,5.9,2.11,0.81,24.89
2024-12-03,301101,38.01,39.48,41.17,37.06,150078,593173159.0,10.51,0.95,0.37,21.0
2024-12-04,301101,38.3,41.49,43.3,38.22,152501,640884940.0,12.87,5.09,2.01,21.34
2024-12-05,301101,41.0,41.57,42.83,39.38,120487,495495625.0,8.32,0.19,0.08,16.86
2024-12-06,301101,41.05,38.48,41.37,38.05,109295,433202260.0,7.99,-7.43,-3.09,15.29
2024-12-09,301101,38.1,39.03,40.78,37.53,91523,364729661.0,8.45,1.43,0.55,12.81
2024-12-10,301101,40.48,39.0,41.0,38.6,82051,331533359.0,6.15,-0.08,-0.03,11.48
2024-12-11,301101,38.5,44.4,46.5,38.39,146550,628903337.0,20.79,13.85,5.4,20.51
2024-12-12,301101,42.72,43.02,44.5,42.02,108341,471519113.0,5.59,-3.11,-1.38,15.16
2024-12-13,301101,42.39,43.09,45.7,42.02,119159,526160299.0,8.55,0.16,0.07,16.67
2024-12-16,301101,44.47,43.33,46.28,42.49,117779,527929994.0,8.8,0.56,0.24,6.17
2024-12-17,301101,41.99,39.21,42.35,38.7,85736,347792805.0,8.42,-9.51,-4.12,4.49
2024-12-18,301101,38.92,47.15,47.15,37.3,145915,636534738.0,25.12,20.25,7.94,7.64
2024-12-19,301101,46.15,45.17,49.39,45.05,161710,765911757.0,9.2,-4.2,-1.98,8.47
2024-12-20,301101,45.9,47.13,51.38,45.5,165507,798205195.0,13.02,4.34,1.96,8.67
2024-12-23,301101,47.12,45.84,48.98,45.39,125385,597665544.0,7.62,-2.74,-1.29,6.57
2024-12-24,301101,44.92,47.05,47.92,44.5,118094,550494381.0,7.46,2.64,1.21,6.19
2024-12-25,301101,46.45,48.31,49.4,45.4,127347,612313354.0,8.5,2.68,1.26,6.67
2024-12-26,301101,46.9,48.38,50.07,46.35,120830,592906625.0,7.7,0.14,0.07,6.33
2024-12-27,301101,47.99,46.27,50.3,45.81,114378,552839224.0,9.28,-4.36,-2.11,5.99
2024-12-30,301101,44.8,45.3,47.34,44.3,71253,328698641.0,6.57,-2.1,-0.97,3.73
2024-12-31,301101,45.3,42.38,45.7,41.92,87100,381802664.0,8.34,-6.45,-2.92,4.56
2025-01-02,301101,41.74,42.0,43.79,41.3,68296,292845887.0,5.88,-0.9,-0.38,3.58
2025-01-03,301101,43.1,40.79,44.13,40.41,87915,374698550.0,8.86,-2.88,-1.21,4.6
2025-01-06,301101,39.55,36.8,40.1,36.21,104673,400602556.0,9.54,-9.78,-3.99,5.48
2025-01-07,301101,36.81,38.38,38.65,36.13,74802,283610084.0,6.85,4.29,1.58,3.92
2025-01-08,301101,37.87,38.05,38.77,36.03,82113,312305369.0,7.14,-0.86,-0.33,4.3
2025-01-09,301101,37.5,38.18,39.45,37.42,83301,323249003.0,5.34,0.34,0.13,4.36
2025-01-10,301101,37.7,35.81,38.09,35.8,65160,243411387.0,6.0,-6.21,-2.37,3.41
2025-01-13,301101,34.9,35.28,35.5,34.01,46060,163329860.0,4.16,-1.48,-0.53,2.41
2025-01-14,301101,35.6,38.57,38.75,35.45,81355,307843963.0,9.35,9.33,3.29,4.26
2025-01-15,301101,38.43,39.01,39.94,38.0,80614,319377036.0,5.03,1.14,0.44,4.22
2025-01-16,301101,39.17,37.89,39.68,37.32,60650,235593500.0,6.05,-2.87,-1.12,3.18
2025-01-17,301101,37.5,37.71,38.59,37.05,56132,214813100.0,4.06,-0.48,-0.18,2.94
2025-01-20,301101,38.2,38.18,38.99,37.7,51846,200919178.0,3.42,1.25,0.47,2.72
