日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-24,0.508,0.53,0.531,0.501,15647512,811037450.0,6.0,6.0,0.03,8.19
2024-09-25,0.537,0.533,0.549,0.532,9637526,521118375.0,3.21,0.57,0.003,5.04
2024-09-26,0.531,0.586,0.586,0.53,19871415,1114904438.0,10.51,9.94,0.053,10.4
2024-09-27,0.617,0.645,0.645,0.606,15825412,985757527.0,6.66,10.07,0.059,8.28
2024-09-30,0.71,0.71,0.71,0.654,29679427,2051561693.0,8.68,10.08,0.065,15.53
2024-10-08,0.781,0.727,0.781,0.67,47294334,3491458044.0,15.63,2.39,0.017,24.75
2024-10-09,0.69,0.654,0.69,0.654,28079678,1860026081.0,4.95,-10.04,-0.073,14.7
2024-10-10,0.639,0.652,0.669,0.632,17553930,1145438495.0,5.66,-0.31,-0.002,9.19
2024-10-11,0.64,0.631,0.652,0.622,13092683,833737306.0,4.6,-3.22,-0.021,6.85
2024-10-14,0.631,0.638,0.642,0.617,12537645,792355125.0,3.96,1.11,0.007,6.56
2024-10-15,0.633,0.615,0.637,0.615,9962771,623616009.0,3.45,-3.61,-0.023,5.21
2024-10-16,0.606,0.609,0.62,0.603,11608664,707843962.0,2.76,-0.98,-0.006,6.08
2024-10-17,0.614,0.596,0.616,0.595,13247015,799070867.0,3.45,-2.13,-0.013,6.93
2024-10-18,0.591,0.616,0.627,0.589,22740407,1377824602.0,6.38,3.36,0.02,11.9
2024-10-21,0.611,0.616,0.62,0.605,16786244,1028649451.0,2.44,0.0,0.0,8.79
2024-10-22,0.613,0.626,0.629,0.612,17091598,1065913993.0,2.76,1.62,0.01,8.95
2024-10-23,0.626,0.635,0.642,0.62,17916031,1133849591.0,3.51,1.44,0.009,9.38
2024-10-24,0.63,0.622,0.633,0.62,11574767,723776552.0,2.05,-2.05,-0.013,6.06
2024-10-25,0.621,0.627,0.634,0.619,12714481,796986610.0,2.41,0.8,0.005,6.65
2024-10-28,0.631,0.644,0.645,0.622,19714294,1256705299.0,3.67,2.71,0.017,10.32
2024-10-29,0.642,0.627,0.65,0.626,14556045,924469793.0,3.73,-2.64,-0.017,7.62
2024-10-30,0.622,0.618,0.629,0.612,11972100,741988492.0,2.71,-1.44,-0.009,6.27
