code,name
000001,上证指数
399001,深证成指
899050,北证50
399006,创业板指
000680,科创综指
000688,科创50
399330,深证100
000300,沪深300
000016,上证50
399673,创业板50
000888,上证综合全收益
399750,深主板50
930050,中证A50
000903,中证A100
000510,中证A500
000904,中证200
000905,中证500
000906,中证800
000852,中证1000
932000,中证2000
000985,中证全指
000010,上证180
000009,上证380
000132,上证100
000133,上证150
000003,Ｂ股指数
000012,国债指数
000013,企债指数
000011,基金指数
399002,深成指R
399850,深证50
399005,中小100
399003,成份Ｂ指
399106,深证综指
399004,深证100R
399007,深证300
399008,中小300
399293,创业大盘
399019,创业200
399020,创业小盘
399100,新指数
399550,央视50
000071,材料等权
000819,有色金属
000811,细分有色
000823,800有色
000909,300材料
000692,科创新能
000033,上证材料
000026,180资源
000066,上证商品
000122,农业主题
000094,上证上游
000092,资源50
000145,优势资源
000068,上证资源
000929,800材料
000987,全指材料
000944,内地资源
000979,大宗商品
000961,中证上游
000949,中证农业
000813,细分化工
000908,300能源
000160,沪新丝路
000805,A股资源
000032,上证能源
000102,沪投资品
000854,500原料
000986,全指能源
000105,380材料
000072,工业等权
000104,380能源
000917,300公用
000690,科创成长
000928,中证能源
000070,能源等权
000034,上证工业
000027,180运输
000025,180基建
000112,380电信
000916,300通信
000041,上证公用
000007,公用指数
000136,180低贝
000820,煤炭指数
000149,180红利
000937,800公用
000134,上证银行
000152,上央红利
000995,全指公用
000091,沪财中小
000079,公用等权
000970,ESG 40
000825,央企红利
000056,上证国企
000114,持续产业
000860,结构调整
000042,上证央企
000821,300红利
000129,180波动
000867,港中小企
000901,小康指数
000151,上国红利
000146,优势制造
000851,百发100
000131,上证高新
000697,科大湾区
000927,央企100
000936,800通信
000689,科创材料
000058,全指价值
000698,科创100
000869,HK银行
000029,180价值
000095,上证中游
000125,180稳定
000919,300价值
000118,380价值
000926,中证央企
000053,180基本
000699,科创200
000824,国企红利
000925,基本面50
000063,上证周期
000130,380波动
000994,全指通信
000040,上证电信
000158,上证环保
000139,上证转债
000055,上证地企
000098,上证F200
000044,上证中盘
000952,300地产
000100,上证F500
000832,中证转债
000109,380医药
000965,基本200
000945,内地运输
000021,180治理
000015,红利指数
000967,基本600
000019,治理指数
000054,上证海外
000002,Ａ股指数
000031,180R价值
000135,180高贝
000017,新综指
000004,工业指数
000099,上证F300
000051,180等权
000948,内地地产
000008,综合指数
000959,银河99
000046,上证中小
000910,300工业
000050,50等权
000060,全R价值
000116,信用100
000061,沪企债30
000923,公司债指
000846,ESG 100
000022,沪公司债
000930,800工业
000052,50基本
000170,50AH优选
000984,300等权
000113,380公用
000097,高端装备
000101,5年信用
000128,380基本
000856,500工业
000028,180成长
000006,地产指数
000057,全指成长
000067,上证新兴
000048,责任指数
000827,中证环保
000988,全指工业
000812,细分机械
000966,基本400
000078,电信等权
000076,金融等权
000922,中证红利
000142,380稳定
000047,上证全指
000137,380高贝
000090,上证流通
000138,380低贝
000855,央视500
000159,沪股通
000683,科创生物
000120,380R价值
000117,380成长
000038,上证金融
000907,中证700
000155,市值百强
000045,上证小盘
000110,380金融
000980,中证超大
000030,180R成长
000059,全R成长
000106,380工业
000998,中证TMT
000161,沪中国造
000020,中型综指
000982,500等权
000049,上证民企
000093,180分层
000828,300高贝
000075,医药等权
000902,中证流通
000971,等权90
000065,上证龙头
000018,180金融
000977,内地低碳
000043,超大盘
000681,科创价格
000853,CSSW丝路
000119,380R成长
000141,380动态
000171,新兴成指
000969,300非周
000115,380等权
000918,300成长
000685,科创芯片
000153,上民红利
000914,300金融
000865,上海国企
000064,非周期
000934,中证金融
000077,信息等权
000992,全指金融
000891,新兴综指
000974,800金融
000039,上证信息
000964,中证新兴
000941,新能源
000911,300可选
000802,500沪市
000695,科长三角
000915,300信息
000062,上证沪企
000847,腾讯济安
000121,医药主题
000935,中证信息
000005,商业指数
000993,全指信息
000123,180动态
000858,500信息
000808,医药生物
000682,科创信息
000978,医药100
000942,内地消费
000932,中证消费
000857,500医药
000150,380红利
000806,消费服务
000693,科创机械
000990,全指消费
000037,上证医药
000108,380消费
000111,380信息
000148,消费领先
000841,800医药
000147,优势消费
000989,全指可选
000991,全指医药
000103,沪消费品
000814,细分医药
000096,上证下游
000931,800可选
000933,中证医药
000815,细分食品
000863,CS精准医
000912,300消费
000035,上证可选
000913,300医药
000162,沪互联+
000691,科创ESG
000849,300非银
000069,消费80
000073,可选等权
000687,科创高装
000807,食品饮料
000126,消费50
000107,380可选
000074,消费等权
000036,上证消费
399232,采矿指数
987018,港股通创新药
487018,港股通创新药R
987019,港股通创新药（人民币）
487019,港股通创新药R（人民币）
483058,深港通电信服务R（港币）
483057,深港通电信服务R
983058,深港通电信服务（港币）
983057,深港通电信服务
480043,工业金属R
980043,工业金属
483080,深港通制药R（港币）
483079,深港通制药R
983080,深港通制药（港币）
983079,深港通制药
480035,化肥农药R
980035,化肥农药
399395,国证有色
483062,深港通基材R（港币）
483061,深港通基材R
983062,深港通基材（港币）
983061,深港通基材
399319,资源优势
483016,深港通材料R（港币）
483015,深港通材料R
399231,农林指数
983015,深港通材料
983016,深港通材料（港币）
399990,煤炭等权
399995,基建工程
399991,一带一路
399382,1000材料
399688,深成电信
470051,深证算力设施R
970051,深证算力设施
399617,深证消费
399704,深证上游
470070,创业板人工智能R
970070,创业板人工智能
399439,国证油气
399614,深证材料
483063,深港通化工R
483064,深港通化工R（港币）
483075,深港通传媒R
483076,深港通传媒R（港币）
399235,建筑指数
483030,深港通电信业务R（港币）
483029,深港通电信业务R
399669,深证农业
399637,深证地产
983075,深港通传媒
983076,深港通传媒（港币）
983063,深港通化工
983064,深港通化工（港币）
399621,深证电信
399681,深成材料
399389,国证通信
980082,央国企低碳科技
470076,深证绿色化工R
480047,文化创意R（港币）
399381,1000能源
399684,深成消费
399613,深证能源
480046,文化创意R
970076,深证绿色化工
480014,湾区医药R（港币）
480013,湾区医药R
399366,能源金属
980047,文化创意（港币）
399928,中证能源
980046,文化创意
483013,深港通能源R
483014,深港通能源R（港币）
399639,深证大宗
399814,大农业
399359,国证基建
980014,湾区医药（港币）
399318,国证Ｂ指
980013,湾区医药
487026,港股通新能源R
483023,深港通医药卫生R
970077,深证绿色建材
987026,港股通新能源
483024,深港通医药卫生R（港币）
987027,港股通新能源（人民币）
487027,港股通新能源R（人民币）
470077,深证绿色建材R
399410,苏州率先
399998,中证煤炭
399807,高铁产业
399357,环渤海
983023,深港通医药卫生
480073,生猪指数R
399983,地产等权
983024,深港通医药卫生（港币）
980048,国证建材
480048,国证建材R
980073,生猪指数
399390,1000公用
983013,深港通能源
983014,深港通能源（港币）
399429,新丝路
399241,地产指数
980092,自由现金流
399436,绿色煤炭
489009,新华ESG 50R
483034,深港通通信服务R（港币）
980081,价值100
399363,国证算力
399431,国证银行
983033,深港通通信服务
483033,深港通通信服务R
983034,深港通通信服务（港币）
399986,中证银行
399671,深防御50
399324,深证红利
399438,绿色电力
399435,国证农牧
399365,国证粮食
483052,深港通农牧渔R（港币）
399440,国证钢铁
399320,国证服务
470052,深证数字安全R
483051,深港通农牧渔R
983030,深港通电信业务（港币）
399234,水电指数
399974,国企改革
489016,红利价值R
983029,深港通电信业务
970052,深证数字安全
983052,深港通农牧渔（港币）
989009,新华ESG 50
399698,优势成长
983051,深港通农牧渔
399353,国证物流
399689,深成公用
983072,深港通房地产（港币）
483065,深港通食品饮料R
483066,深港通食品饮料R（港币）
399416,I300
399404,大盘低波
399901,小康指数
399375,中盘价值
480072,生物农业R
983066,深港通食品饮料（港币）
399406,中盘低波
983071,深港通房地产
399290,深转交债
983065,深港通食品饮料
980072,生物农业
487014,港股中盘R
483072,深港通房地产R（港币）
483071,深港通房地产R
399622,深证公用
487015,港股中盘R（人民币）
987014,港股中盘
483060,深港通生科R（港币）
980080,成长100
480069,蓝色100R(港币)
987015,港股中盘（人民币）
399648,深证GDP
483059,深港通生科R
480068,蓝色100R
480018,卫星通信R
483032,深港通公用事业R（港币）
399274,深新基建
399551,央视创新
980063,国证回购
983060,深港通生科（港币）
483031,深港通公用事业R
989016,红利价值
399407,中盘高贝
983082,深港通银行（港币）
483012,深港通绿色优选R(港币)
487020,内房股R
987020,内房股
983059,深港通生科
480532,国证青岛海洋R
399959,军工指数
399433,国证交运
487021,内房股R（人民币）
980017,国证芯片
980018,卫星通信
483050,深港通耐用消费R（港币）
399693,安防产业
987021,内房股（人民币）
483011,深港通绿色优选R
983081,深港通银行
483022,深港通主要消费R（港币）
480063,国证回购R
483021,深港通主要消费R
483049,深港通耐用消费R
399552,央视成长
399413,国证转债
983022,深港通主要消费（港币）
983021,深港通主要消费
483082,深港通银行R（港币）
483081,深港通银行R
399108,深证Ｂ指
480017,国证芯片R
399285,物联网50
399348,深证价值
983084,深港通内房股(港币)
399610,TMT50
483083,深港通内房股R
980056,价值因子
983049,深港通耐用消费
983050,深港通耐用消费（港币）
399307,深证转债
983083,深港通内房股
483084,深港通内房股R(港币)
470055,深证国企ESGR
489017,质量优势R
980069,蓝色100(港币)
980068,蓝色100
399660,中创EW
480056,价值因子R
399644,深证时钟
399315,巨潮中盘
399374,中盘成长
399679,深证200R
399292,民企发展
980532,国证青岛海洋
399661,深证低波
399335,深证央企
470064,深证国企股东回报R
399009,深证200
399965,800地产
970055,深证国企ESG
399635,创业板EW
399354,分析师指数
399646,深消费50
980029,新基建
480021,碳中和50R
399994,信息安全
483102,内地生物科技R(港币)
399321,国证红利
470060,深证ESG成长R
989017,质量优势
970064,深证国企股东回报
399371,国证价值
399399,中经GDP
483101,内地生物科技R
399633,深300EW
399373,大盘价值
489001,新华500R
399645,100低波
980021,碳中和50
399302,深公司债
399301,深信用债
983102,内地生物科技(港币)
399299,深信中低
399298,深信中高
399289,碳中和债
471002,中小地产R
399556,央视生态
399367,1000地产
983101,内地生物科技
399350,皖江30
399701,深证F60
399393,国证地产
399481,企债指数
399696,深证创投
970060,深证ESG成长
399326,成长40
399423,中关村50
399657,300绩效
987024,港股通消费
399672,深红利50
399663,中小低波
399238,餐饮指数
483056,深港通工业服务R（港币）
480006,GTCOM港股通100R（港币）
399903,中证100
399631,1000价值
399702,深证F120
971002,中小地产
399284,AI 50
399380,国证ETF
399703,深证F200
399379,国证基金
480005,GTCOM港股通100R
489015,智选策略100R
483055,深港通工业服务R
399422,中关村A
399317,国证Ａ指
480065,帮扶100R
399383,1000工业
399802,500深市
989001,新华500
971001,深成地产
983067,深港通半导体
399400,大中盘
983068,深港通半导体（港币）
989015,智选策略100
970043,新能装备
399368,国证军工
399249,综企指数
489008,新华ESG300R
483068,深港通半导体R（港币）
470043,新能装备R
399555,央视责任
483067,深港通半导体R
399649,中小红利
399103,乐富指数
983056,深港通工业服务（港币）
983055,深港通工业服务
399306,深证ETF
980083,央国企自主科技
399279,云科技50
399280,生物50
470037,深证高装R
480026,风光装备 R
399262,数字经济
399300,沪深300
470062,深红利300R
980059,航空出行
399656,100绩效
399408,小盘低波
399312,国证300
399311,国证1000
399659,深成指EW
399391,投资时钟
399313,巨潮100
480059,航空出行R
399314,巨潮大盘
399401,中小盘
399341,深证责任
471001,深成地产R
480024,南山50R(港币)
480023,南山50R
980024,南山50(港币)
399662,深证高贝
983012,深港通绿色优选(港币)
983011,深港通绿色优选
970035,深证光伏
399107,深证Ａ指
399411,红利100
399982,500等权
399278,长江100
470035,深证光伏R
399233,制造指数
980023,南山50
980065,帮扶100
399695,深证节能
980026,风光装备
399680,深成能源
983025,深港通金融
399369,国证责任
983026,深港通金融（港币）
480070,国证专利R
399344,深证300R
399377,小盘价值
399376,小盘成长
470072,深证民企价值R
399808,中证新能
399263,创业数字
483006,深港通综指R(港币)
487011,港股大中盘R（人民币）
483025,深港通金融R
483026,深港通金融R（港币）
487010,港股大中盘R
399013,深市精选
483005,深港通综指R
480028,龙头家电R
399705,深证中游
399554,央视治理
989008,新华ESG300
399905,中证 500
970062,深红利300
399628,700成长
399676,深医药EW
970072,深证民企价值
399694,创业高贝
399803,工业4.0
399604,中小价值
980070,国证专利
980052,绿色金融
399265,创新药械
489004,新华优选价值50R
399811,CSSW电子
980053,绿色金融（港币）
487003,港股通50R
399362,民企100
399358,国证环保
480053,绿色金融R（港币）
480052,绿色金融R
399011,深证1000
399378,ESG 300
470065,深证优质信披R
399706,深证下游
399666,中创高贝
399428,国证定增
980006,GTCOM港股通100（港币）
980005,GTCOM港股通100
487004,港股通50R（人民币）
487012,港股大盘R
399275,创医药
399015,中小创新
470067,深证专利R
399632,深100EW
399370,国证成长
487013,港股大盘R（人民币）
470026,深指ESGR
970048,新型显示
983006,深港通综指(港币)
983005,深港通综指
983032,深港通公用事业（港币）
399387,1000金融
970065,深证优质信披
970067,深证专利
983031,深港通公用事业
399418,数据要素
970037,深证高装
399310,国证A50
399303,国证2000
399914,300 金融
483090,深港通大湾区R(港币)
399972,300深市
399652,中创高新
470080,科技50R
980028,龙头家电
399634,中小等权
483089,深港通大湾区R
399973,中证国防
470048,新型显示R
399992,CSWD并购
489007,新华SHS新兴消费R(港币)
480058,绿色治理R
399328,深证治理
399392,国证新兴
470071,深证民企成长R
987022,港股通互联网
399101,中小综指
399388,1000信息
987010,港股大中盘
399364,消费100
399813,中证国安
489006,新华SHS新兴消费R
970026,深指ESG
399060,碳科技60
987011,港股大中盘（人民币）
399934,中证金融
970080,科技50
980057,动量因子
480057,动量因子R
980058,绿色治理
970042,新材料50
399658,中小绩效
399419,国证高铁
487016,港股通红利低波R
399852,中证1000
399333,中小100R
399665,中创低波
470033,100ESG增强R
483008,深港通100R(港币)
487001,港股50R
399244,公共指数
399260,先进制造
487017,港股通红利低波R（人民币）
399355,长三角
